instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,season_name,weather_desc,month,dayofweek,casual_ratio,Cluster
1,2011-01-01,1,0,1,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.344167,0.363625,0.805833,0.160446,331,654,985,2011,Spring,Mist,January,5,0.5061162079510704,2
2,2011-01-02,1,0,1,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.363478,0.353739,0.696087,0.248539,131,670,801,2011,Spring,Mist,January,6,0.19552238805970149,2
3,2011-01-03,1,0,1,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,Spring,Clear,January,0,0.09764035801464606,2
4,2011-01-04,1,0,1,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.212122,0.590435,0.160296,108,1454,1562,2011,Spring,Clear,January,1,0.07427785419532325,2
5,2011-01-05,1,0,1,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.226957,0.22927,0.436957,0.1869,82,1518,1600,2011,Spring,Clear,January,2,0.05401844532279315,2
6,2011-01-06,1,0,1,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.204348,0.233209,0.518261,0.0895652,88,1518,1606,2011,Spring,Clear,January,3,0.057971014492753624,2
7,2011-01-07,1,0,1,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.196522,0.208839,0.498696,0.168726,148,1362,1510,2011,Spring,Mist,January,4,0.10866372980910426,2
8,2011-01-08,1,0,1,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.165,0.162254,0.535833,0.266804,68,891,959,2011,Spring,Mist,January,5,0.07631874298540965,2
9,2011-01-09,1,0,1,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.138333,0.116175,0.434167,0.36195,54,768,822,2011,Spring,Clear,January,6,0.0703125,2
10,2011-01-10,1,0,1,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.150833,0.150888,0.482917,0.223267,41,1280,1321,2011,Spring,Clear,January,0,0.03203125,2
